      Date ,BOPD,BWPD,Gas Rate,BLPD,Reservoir
31-Mar-83,6432.45,238,3545548,6670.45,AA-3
30-Apr-83,5202.83,261.9,5170667,5464.73,AA-3
31-May-83,5697.45,162.52,7319548,5859.97,AA-3
30-Jun-83,5741.6,231.9,5866900,5973.5,AA-3
31-Jul-83,5616.32,141.97,7981323,5758.29,AA-3
31-Aug-83,4095.35,85.77,5658613,4181.13,AA-3
30-Sep-83,5786.17,565.5,8525300,6351.67,AA-3
31-Oct-83,5281.94,742.55,8692161,6024.48,AA-3
30-Nov-83,4521.63,506.8,5042600,5028.43,AA-3
31-Dec-83,4822.32,305.9,5458903,5128.23,AA-3
31-Jan-84,4588.9,289.94,5038065,4878.84,AA-3
29-Feb-84,5459.59,388.07,6653793,5847.66,AA-3
31-Mar-84,5255.45,1309.32,7748452,6564.77,AA-3
30-Apr-84,4501.23,1102.53,6021233,5603.77,AA-3
31-May-84,5185.35,2068.19,6527516,7253.55,AA-3
30-Jun-84,5088.53,2180.77,6458600,7269.3,AA-3
31-Jul-84,4991.48,2188.97,5832710,7180.45,AA-3
31-Aug-84,4935.71,1977.74,6468387,6913.45,AA-3
30-Sep-84,4912.87,2173.8,6409200,7086.67,AA-3
31-Oct-84,5284.03,2268.29,5738645,7552.32,AA-3
30-Nov-84,5119.57,2310.27,7476167,7429.83,AA-3
31-Dec-84,5154.13,2273.45,6837290,7427.58,AA-3
31-Jan-85,4834.19,3013.13,6708645,7847.32,AA-3
28-Feb-85,5496.36,3248.96,6243321,8745.32,AA-3
31-Mar-85,5262.13,3135.9,6385194,8398.03,AA-3
30-Apr-85,4886.6,2558,5760333,7444.6,AA-3
31-May-85,4852.61,1792.87,5814710,6645.48,AA-3
30-Jun-85,4684.2,1707.83,5517567,6392.03,AA-3
31-Jul-85,4767.42,1787.19,5379097,6554.61,AA-3
31-Aug-85,4234.71,1703.58,5110032,5938.29,AA-3
30-Sep-85,4396.07,1786.87,5533400,6182.93,AA-3
31-Oct-85,4516.06,1796,5754742,6312.06,AA-3
30-Nov-85,4613.73,1893.4,5789400,6507.13,AA-3
31-Dec-85,4262.77,1712.39,6152258,5975.16,AA-3
31-Jan-86,4641.1,1960.55,6636032,6601.65,AA-3
28-Feb-86,4593.71,2014.11,7107643,6607.82,AA-3
31-Mar-86,4456.48,2092.84,6238548,6549.32,AA-3
30-Apr-86,4484.6,2192.6,6118267,6677.2,AA-3
31-May-86,4281.45,2149.26,6095355,6430.71,AA-3
30-Jun-86,4204.4,2123.47,5939000,6327.87,AA-3
31-Jul-86,4369.55,2151.19,5701226,6520.74,AA-3
31-Aug-86,4549.71,2353.19,4988613,6902.9,AA-3
30-Sep-86,3448.07,2112.1,3911400,5560.17,AA-3
31-Oct-86,4395.61,2432.77,4496613,6828.39,AA-3
30-Nov-86,3861.63,2154.87,3606700,6016.5,AA-3
31-Dec-86,4311.19,2400.94,3377677,6712.13,AA-3
31-Jan-87,4298.65,2464.06,2993968,6762.71,AA-3
28-Feb-87,4277.96,2492.07,2796464,6770.04,AA-3
31-Mar-87,4426.29,1548.19,2856742,5974.48,AA-3
30-Apr-87,4707.37,1435.37,2492967,6142.73,AA-3
31-May-87,4870.23,2229.39,2748935,7099.61,AA-3
30-Jun-87,5061.8,1793.83,2562267,6855.63,AA-3
31-Jul-87,5288.94,2014.06,1968387,7303,AA-3
31-Aug-87,5358.68,2013.84,1979581,7372.52,AA-3
30-Sep-87,5017.07,2197.97,1727467,7215.03,AA-3
31-Oct-87,5280.06,2170.35,1726516,7450.42,AA-3
30-Nov-87,4860.17,2258.27,1704200,7118.43,AA-3
31-Dec-87,4591.94,2237.9,1574226,6829.84,AA-3
31-Jan-88,4658.84,2346.19,1545419,7005.03,AA-3
29-Feb-88,4428.79,2517.59,1548000,6946.38,AA-3
31-Mar-88,4517.81,2519.03,1524516,7036.84,AA-3
30-Apr-88,4470.67,2642.63,1447767,7113.3,AA-3
31-May-88,4290.45,2605.39,1493839,6895.84,AA-3
30-Jun-88,4442.23,2497.47,1610733,6939.7,AA-3
31-Jul-88,4476.97,2503.29,1671645,6980.26,AA-3
31-Aug-88,4436.55,2660.87,1642290,7097.42,AA-3
30-Sep-88,4349.8,2802.5,1714100,7152.3,AA-3
31-Oct-88,4200.13,2781.55,1669226,6981.68,AA-3
30-Nov-88,4233.33,2766.4,1821533,6999.73,AA-3
31-Dec-88,4321.87,2934.19,1969548,7256.06,AA-3
31-Jan-89,4308.84,2859.23,2044161,7168.06,AA-3
28-Feb-89,3924.5,2509.25,2145643,6433.75,AA-3
31-Mar-89,3861.58,2237.77,2028871,6099.35,AA-3
30-Apr-89,4973.97,2180.5,2365000,7154.47,AA-3
31-May-89,4960.68,2067.65,2386226,7028.32,AA-3
30-Jun-89,5309.83,2212.63,2481233,7522.47,AA-3
31-Jul-89,3467.81,1446.87,1415903,4914.68,AA-3
31-Aug-89,2990.97,1150.19,1265323,4141.16,AA-3
30-Sep-89,4487.9,1914.53,1903733,6402.43,AA-3
31-Oct-89,4806.03,1913.55,2372581,6719.58,AA-3
30-Nov-89,5984.57,2580.13,3255700,8564.7,AA-3
31-Dec-89,6102.1,2710.26,4073290,8812.35,AA-3
31-Jan-90,6335.68,2929.77,4192484,9265.45,AA-3
28-Feb-90,6316.04,2934.68,3787929,9250.71,AA-3
31-Mar-90,6392.81,2931.1,4302903,9323.9,AA-3
30-Apr-90,6200.33,2831.13,4299000,9031.47,AA-3
31-May-90,6578.26,2906.77,3637548,9485.03,AA-3
30-Jun-90,4530.37,1765.57,2042000,6295.93,AA-3
31-Jul-90,6104.13,3154.97,3199032,9259.1,AA-3
31-Aug-90,6011.9,3277.42,3470355,9289.32,AA-3
30-Sep-90,6431.37,3385.33,3556433,9816.7,AA-3
31-Oct-90,6337.9,3346.61,3870032,9684.52,AA-3
30-Nov-90,6059.67,3334.7,3570467,9394.37,AA-3
31-Dec-90,6004.55,3297.03,2978903,9301.58,AA-3
31-Jan-91,5237.84,3044.65,3077710,8282.48,AA-3
28-Feb-91,5840.5,3407.86,3630036,9248.36,AA-3
31-Mar-91,5336.13,3148.39,3741290,8484.52,AA-3
30-Apr-91,5428,3136.23,2640967,8564.23,AA-3
31-May-91,5221.19,2974.52,2905935,8195.71,AA-3
30-Jun-91,4793.97,2987,2526000,7780.97,AA-3
31-Jul-91,4725.06,3090.35,2209935,7815.42,AA-3
31-Aug-91,5437.45,1907.19,2694548,7344.65,AA-3
30-Sep-91,5970.63,2599.67,2901100,8570.3,AA-3
31-Oct-91,6250.1,3300,2925129,9550.1,AA-3
30-Nov-91,6288.47,3142.3,2939233,9430.77,AA-3
31-Dec-91,6369.16,3168.65,3381871,9537.81,AA-3
31-Jan-92,6463.9,3099.06,4383129,9562.97,AA-3
29-Feb-92,6618.45,3537.86,3851034,10156.31,AA-3
31-Mar-92,6308.16,3237.23,4020548,9545.39,AA-3
30-Apr-92,5982.47,3271.37,4149367,9253.83,AA-3
31-May-92,6184.65,3037.52,3760903,9222.16,AA-3
30-Jun-92,6417.17,3250.23,3596900,9667.4,AA-3
31-Jul-92,6312.94,3224.29,3596742,9537.23,AA-3
31-Aug-92,6100.68,3342.61,3771613,9443.29,AA-3
30-Sep-92,5277.63,2742.03,3099767,8019.67,AA-3
31-Oct-92,6095,2987.32,2829194,9082.32,AA-3
30-Nov-92,5890.33,3205.17,3311767,9095.5,AA-3
31-Dec-92,5052.97,3206.65,3410613,8259.61,AA-3
31-Jan-93,5212.84,3529.42,3179226,8742.26,AA-3
28-Feb-93,5638.93,3623.18,3860857,9262.11,AA-3
31-Mar-93,5302.61,3596.32,3437806,8898.94,AA-3
30-Apr-93,5548.03,3510,3660167,9058.03,AA-3
31-May-93,4424.55,3221.55,3704935,7646.1,AA-3
30-Jun-93,3969.93,3113.43,3127600,7083.37,AA-3
31-Jul-93,4509.26,3907.77,6295355,8417.03,AA-3
31-Aug-93,4875.9,3443.52,2848484,8319.42,AA-3
30-Sep-93,4610.93,3475.4,2932867,8086.33,AA-3
31-Oct-93,4831.58,4002.42,3598097,8834,AA-3
30-Nov-93,4599.07,3610.73,4787467,8209.8,AA-3
31-Dec-93,4384.55,3419.03,4841742,7803.58,AA-3
31-Jan-94,4430.77,4135.84,3835290,8566.61,AA-3
28-Feb-94,4473.14,4309.07,4701964,8782.21,AA-3
31-Mar-94,4323.9,3865.16,3209129,8189.06,AA-3
30-Apr-94,3699.07,2880.73,2695967,6579.8,AA-3
31-May-94,5198.32,3871.39,6203548,9069.71,AA-3
30-Jun-94,2815.97,1811.67,3276500,4627.63,AA-3
31-Jul-94,4391.35,3387.1,4423226,7778.45,AA-3
31-Aug-94,5975.48,5348.03,5659935,11323.52,AA-3
30-Sep-94,5676.9,5013.8,4792200,10690.7,AA-3
31-Oct-94,5680.65,4311.16,4432387,9991.81,AA-3
30-Nov-94,5531,4393.13,5310833,9924.13,AA-3
31-Dec-94,5490.06,4691.19,5441839,10181.26,AA-3
31-Jan-95,5492.65,4613.19,5775903,10105.84,AA-3
28-Feb-95,5040.18,6184,5462536,11224.18,AA-3
31-Mar-95,3162,2649.61,2832452,5811.61,AA-3
30-Apr-95,5915.6,5570.97,6067533,11486.57,AA-3
31-May-95,5612.39,4596.61,5667290,10209,AA-3
30-Jun-95,5975.17,4529.4,5436467,10504.57,AA-3
31-Jul-95,5595.68,4657.19,5191097,10252.87,AA-3
31-Aug-95,5614.39,5624.23,6240355,11238.61,AA-3
30-Sep-95,5585.83,5048.13,5794833,10633.97,AA-3
31-Oct-95,5345.26,5177.94,5284645,10523.19,AA-3
30-Nov-95,5165.43,5571.6,4077133,10737.03,AA-3
31-Dec-95,5062.9,5235,4000613,10297.9,AA-3
31-Jan-96,4566.84,4733.48,4792935,9300.32,AA-3
29-Feb-96,5094.07,5657.83,6606897,10751.9,AA-3
31-Mar-96,4794.23,5483.23,6445903,10277.45,AA-3
30-Apr-96,4822.3,4018.83,5981267,8841.13,AA-3
31-May-96,4829.06,5471.45,4801387,10300.52,AA-3
30-Jun-96,4726.33,5597.87,5537467,10324.2,AA-3
31-Jul-96,4601.48,5617.19,5866581,10218.68,AA-3
31-Aug-96,4424.9,4740.77,6885032,9165.68,AA-3
30-Sep-96,4327.7,4510.6,5511467,8838.3,AA-3
31-Oct-96,3987.29,3570.74,5043677,7558.03,AA-3
30-Nov-96,4340.93,4709.17,4895733,9050.1,AA-3
31-Dec-96,4287.65,4945.06,4717000,9232.71,AA-3
31-Jan-97,4172.74,4604.9,4772097,8777.65,AA-3
28-Feb-97,3687.21,4369.11,6028750,8056.32,AA-3
31-Mar-97,4077.58,4931.45,5470677,9009.03,AA-3
30-Apr-97,4018.5,5408.37,4601300,9426.87,AA-3
31-May-97,3980.45,5431.13,4701097,9411.58,AA-3
30-Jun-97,3897.8,5856.73,4890133,9754.53,AA-3
31-Jul-97,4010.26,5933.55,5668839,9943.81,AA-3
31-Aug-97,4191.52,6108.9,7680323,10300.42,AA-3
30-Sep-97,4167.97,6124.13,6593100,10292.1,AA-3
31-Oct-97,3948.81,5872.87,6593032,9821.68,AA-3
30-Nov-97,3637.7,5685.83,5739700,9323.53,AA-3
31-Dec-97,3643.23,5853.1,5293548,9496.32,AA-3
31-Jan-98,3705.52,5697.81,4675645,9403.32,AA-3
28-Feb-98,3667.07,5851.07,4880500,9518.14,AA-3
31-Mar-98,3663.97,6008.48,4816032,9672.45,AA-3
30-Apr-98,3610.77,6433.57,5857633,10044.33,AA-3
31-May-98,3521.45,6442.77,6010452,9964.23,AA-3
30-Jun-98,3388.17,7095.37,5377333,10483.53,AA-3
31-Jul-98,2944.77,5931.71,5591194,8876.48,AA-3
31-Aug-98,2148.52,4612.68,4039387,6761.19,AA-3
30-Sep-98,2809.8,5838.27,6107000,8648.07,AA-3
31-Oct-98,1598.29,2892.61,3133226,4490.9,AA-3
30-Nov-98,3068.47,5719.67,4337233,8788.13,AA-3
31-Dec-98,2689.26,6848.03,2857548,9537.29,AA-3
31-Jan-99,2613.29,6355.77,5491613,8969.06,AA-3
28-Feb-99,2538.46,5997.32,8011893,8535.79,AA-3
31-Mar-99,2370.84,4895.39,5616613,7266.23,AA-3
30-Apr-99,2191.43,4404.63,3310633,6596.07,AA-3
31-May-99,2192.48,4742.48,3113839,6934.97,AA-3
30-Jun-99,1972.5,4196.9,2975467,6169.4,AA-3
31-Jul-99,2005.29,4742.97,2990742,6748.26,AA-3
31-Aug-99,1863.32,5438.87,3532645,7302.19,AA-3
30-Sep-99,1493.1,4183,2588000,5676.1,AA-3
31-Oct-99,1940.55,6357.65,3698839,8298.19,AA-3
30-Nov-99,2223.13,6860.27,6931233,9083.4,AA-3
31-Dec-99,1484.26,6,3640968,1490.26,AA-3
31-Jan-00,1295.13,6155.29,3701613,7450.42,AA-3
29-Feb-00,2075.14,7872,5981621,9947.14,AA-3
31-Mar-00,1724.52,6064.06,4382194,7788.58,AA-3
30-Apr-00,1770.33,7137.2,3103667,8907.53,AA-3
31-May-00,316.9,467.52,453806,784.42,AA-3
30-Jun-00,1640.8,6700.03,3181400,8340.83,AA-3
31-Jul-00,2384.42,9820.45,5170258,12204.87,AA-3
31-Aug-00,2190,9099.71,3995581,11289.71,AA-3
30-Sep-00,2406.93,10239.93,3707867,12646.87,AA-3
31-Oct-00,2291.68,9427.1,4876677,11718.77,AA-3
30-Nov-00,2245.33,9304.9,4284333,11550.23,AA-3
31-Dec-00,2003.16,8284.65,3322613,10287.81,AA-3
31-Jan-01,2168.65,9118.39,3964387,11287.03,AA-3
28-Feb-01,2152.96,9058.46,3773357,11211.43,AA-3
31-Mar-01,2193,10124.45,4949032,12317.45,AA-3
30-Apr-01,2176,10774.03,4615267,12950.03,AA-3
31-May-01,2175.71,10153.29,4623839,12329,AA-3
30-Jun-01,2097.47,10316.43,4183633,12413.9,AA-3
31-Jul-01,2158.68,10205.16,4256419,12363.84,AA-3
31-Aug-01,2276.55,10588.71,4340806,12865.26,AA-3
30-Sep-01,2199.83,9914.33,4686333,12114.17,AA-3
31-Oct-01,1912.52,10710.81,4847839,12623.32,AA-3
30-Nov-01,1877.07,10617.83,3811333,12494.9,AA-3
31-Dec-01,2011.9,10655.42,3988129,12667.32,AA-3
31-Jan-02,1807.9,10434.97,5596677,12242.87,AA-3
28-Feb-02,1468.5,8022.57,3521643,9491.07,AA-3
31-Mar-02,1897.79,10752.1,5454742,12649.89,AA-3
30-Apr-02,1667.59,8607.33,5348167,10274.93,AA-3
31-May-02,1909.84,10829.13,8420710,12738.97,AA-3
30-Jun-02,1965.03,10403.4,4003467,12368.43,AA-3
31-Jul-02,1710.29,10028.16,3766484,11738.45,AA-3
31-Aug-02,1690.68,11773.06,4558871,13463.74,AA-3
30-Sep-02,1633,11003.2,4210567,12636.2,AA-3
31-Oct-02,1316.81,10521.23,3341613,11838.03,AA-3
30-Nov-02,1413.84,10678.4,3917700,12092.24,AA-3
31-Dec-02,1418.65,10811.77,4336756,12230.42,AA-3
31-Jan-03,1556.45,11894.45,3340323,13450.9,AA-3
28-Feb-03,1459.11,11704.29,2785536,13163.39,AA-3
31-Mar-03,1526.71,12147.81,3095000,13674.52,AA-3
30-Apr-03,1672.17,11974.07,2902533,13646.23,AA-3
31-May-03,1769.06,11483.58,3804548,13252.65,AA-3
30-Jun-03,1588.8,11535.2,3763867,13124,AA-3
31-Jul-03,1457.45,9966.26,2869516,11423.71,AA-3
31-Aug-03,1256.96,8888.85,2464319,10145.81,AA-3
30-Sep-03,1112.37,8641.53,3042567,9753.9,AA-3
31-Oct-03,1143.61,9788.68,3098627,10932.28,AA-3
30-Nov-03,1195,8805.37,2211581,10000.36,AA-3
31-Dec-03,1337.16,8053.68,2392129,9390.83,AA-3
31-Jan-04,1391.6,8453.92,3545548,9845.52,AA-3
29-Feb-04,1590.52,10232.53,2819939,11823.05,AA-3
31-Mar-04,1163.99,9795.26,5355222,10959.24,AA-3
30-Apr-04,1345.42,10248.89,10742008,11594.32,AA-3
31-May-04,1078.69,5850.46,4768533,6929.15,AA-3
30-Jun-04,1391.4,9414.9,5259300,10806.3,AA-3
31-Jul-04,1454.93,7544.02,3931530,8998.96,AA-3
31-Aug-04,1309.26,6834.23,3366484,8143.48,AA-3
30-Sep-04,1103.24,5499.29,3601929,6602.53,AA-3
31-Oct-04,1060.78,4525,3584298,5585.78,AA-3
30-Nov-04,1511.39,11298.94,6644711,12810.33,AA-3
31-Dec-04,1618.27,9130.19,5048793,10748.46,AA-3
31-Jan-05,1257.76,6332.61,3609445,7590.37,AA-3
28-Feb-05,1123.71,6176.22,4678493,7299.93,AA-3
31-Mar-05,1242.39,9393.39,5593750,10635.78,AA-3
30-Apr-05,1169.42,8733.71,4358581,9903.13,AA-3
31-May-05,1039.65,5520.58,4364613,6560.23,AA-3
30-Jun-05,1079.93,5758.23,5294067,6838.17,AA-3
31-Jul-05,1224.58,7113.77,5652000,8338.35,AA-3
31-Aug-05,1297.06,7712.58,4811387,9009.65,AA-3
30-Sep-05,1412.27,7429.03,4142167,8841.3,AA-3
31-Oct-05,1065.35,6017.23,3087871,7082.58,AA-3
30-Nov-05,975.67,6940.4,3224467,7916.07,AA-3
31-Dec-05,1150.19,7293.68,4125387,8443.87,AA-3
31-Jan-06,1216.9,7535.97,5563871,8752.87,AA-3
28-Feb-06,1101.54,7699.68,5117643,8801.21,AA-3
31-Mar-06,1122.71,8470.81,6337581,9593.52,AA-3
30-Apr-06,1185.77,8315.77,6115600,9501.53,AA-3
31-May-06,1005.16,7781.65,5583387,8786.81,AA-3
30-Jun-06,1142.2,7623.23,5825700,8765.43,AA-3
31-Jul-06,1208.13,7707.74,6099903,8915.87,AA-3
31-Aug-06,1377.87,8012.58,7335290,9390.45,AA-3
30-Sep-06,1587,9488.3,5722300,11075.3,AA-3
31-Oct-06,1666.77,7986.39,7202677,9653.16,AA-3
30-Nov-06,1677.57,8585.73,7124467,10263.3,AA-3
31-Dec-06,1526.74,7105,7044226,8631.74,AA-3
31-Jan-07,1517.65,7273.74,6848097,8791.39,AA-3
28-Feb-07,1453.61,7477.54,5750393,8931.14,AA-3
31-Mar-07,1455.42,6924.06,6657387,8379.48,AA-3
30-Apr-07,1657.83,7162.17,7239633,8820,AA-3
31-May-07,1459.32,6286.68,6766129,7746,AA-3
30-Jun-07,1421.3,6622.4,6630567,8043.7,AA-3
31-Jul-07,1435.35,6469.06,6029613,7904.42,AA-3
31-Aug-07,1477.06,7041.48,6087323,8518.55,AA-3
30-Sep-07,1401.7,6871.87,6134467,8273.57,AA-3
31-Oct-07,1274.1,6502.77,5075387,7776.87,AA-3
30-Nov-07,1128,5258.37,4611733,6386.37,AA-3
31-Dec-07,1317.55,6133.74,5374581,7451.29,AA-3
31-Jan-08,1471.48,6818.39,4887677,8289.87,AA-3
29-Feb-08,1342.14,5842.48,2832966,7184.62,AA-3
31-Mar-08,1343.23,6603.23,3749000,7946.45,AA-3
30-Apr-08,1335.03,5759.67,4358600,7094.7,AA-3
31-May-08,1455.13,5603.81,4415774,7058.94,AA-3
30-Jun-08,1640.33,5754.4,4284633,7394.73,AA-3
31-Jul-08,1622.1,6083.9,4214613,7706,AA-3
31-Aug-08,1619.42,5498.71,5969452,7118.13,AA-3
30-Sep-08,1698.47,5893.8,3633300,7592.27,AA-3
31-Oct-08,1723.1,5682.42,5017581,7405.52,AA-3
30-Nov-08,1367.2,6069.23,5761000,7436.43,AA-3
31-Dec-08,1090.48,5203.97,5597226,6294.45,AA-3
31-Jan-09,1089.9,6137.81,5700129,7227.71,AA-3
28-Feb-09,1143.75,6194.46,5832500,7338.21,AA-3
31-Mar-09,1263.71,6439.48,5775774,7703.19,AA-3
30-Apr-09,1191.83,5647.27,5830567,6839.1,AA-3
31-May-09,1269.13,5832.48,8742839,7101.61,AA-3
30-Jun-09,1218.57,5309.43,8826933,6528,AA-3
31-Jul-09,1181.77,5532.87,9701484,6714.65,AA-3
31-Aug-09,1163.32,5208.16,10488258,6371.48,AA-3
30-Sep-09,1200.7,5189.5,9296600,6390.2,AA-3
31-Oct-09,1181.9,5150.13,4972581,6332.03,AA-3
30-Nov-09,1108.47,4895.4,3976333,6003.87,AA-3
31-Dec-09,1240.39,5905.32,3673419,7145.71,AA-3
31-Jan-10,1210.1,5902.19,3028935,7112.29,AA-3
28-Feb-10,971.43,5671.57,3228750,6643,AA-3
31-Mar-10,963.26,5313.03,3675839,6276.29,AA-3
30-Apr-10,867.1,5744.9,3379167,6612,AA-3
31-May-10,588.52,3230.55,2551032,3819.06,AA-3
30-Jun-10,649.17,4972.93,2796767,5622.1,AA-3
31-Jul-10,620.16,4999.97,2998194,5620.13,AA-3
31-Aug-10,427.19,4304.26,3337129,4731.45,AA-3
30-Sep-10,593.83,4346.67,4079233,4940.5,AA-3
31-Oct-10,866.23,4356.94,4869194,5223.16,AA-3
30-Nov-10,522.7,4163.6,3180567,4686.3,AA-3
31-Dec-10,912.58,4731.77,3300645,5644.35,AA-3
31-Jan-11,895.23,4423.35,3069226,5318.58,AA-3
28-Feb-11,913.54,5063.07,4129857,5976.61,AA-3
31-Mar-11,973.35,5165.55,4594290,6138.9,AA-3
30-Apr-11,902.67,5279.2,4608567,6181.87,AA-3
31-May-11,982.97,5024.16,4473323,6007.13,AA-3
30-Jun-11,909.9,4885.03,3856500,5794.93,AA-3
31-Jul-11,705.87,4205.16,3602710,4911.03,AA-3
31-Aug-11,896.26,4477.26,4385871,5373.52,AA-3
30-Sep-11,875.1,5023.1,4977067,5898.2,AA-3
31-Oct-11,935.58,4700.58,5009645,5636.16,AA-3
30-Nov-11,853.27,4575.43,4736400,5428.7,AA-3
31-Dec-11,831.13,4294.61,5521032,5125.74,AA-3
31-Jan-12,868.42,3377.16,4992065,4245.58,AA-3
29-Feb-12,788.07,3335.03,5177724,4123.1,AA-3
31-Mar-12,754.71,4765.97,4260355,5520.68,AA-3
30-Apr-12,797.77,4616.47,6190800,5414.23,AA-3
31-May-12,766.97,4894.13,7239387,5661.1,AA-3
30-Jun-12,761.63,5034.17,6079733,5795.8,AA-3
31-Jul-12,728.45,5160.81,5570806,5889.26,AA-3
31-Aug-12,797.1,4899.77,5534419,5696.87,AA-3
