BOPD,BWPD,GasRateMscf
1617,949,1538
1879,1944,1485
977,977,198
441,1563,284
1148,1499,1203
894,1092,158
1165,1560,1144
440,1559,229
882,1078,71
1564,1863,1506
919,1079,163
602,3748,284
420,1682,193
328,1603,25
578,3732,493
521,3694,870
1063,1819,1010
2363,1171,2085
239,1750,427
311,1909,539
346,1576,346
376,1190,27
398,1591,322
401,1606,291
396,1583,266
1164,2774,1747
2324,1441,1678
178,713,328
227,2039,585
895,1094,150
886,1128,778
1184,2789,1895
923,1128,394
1805,1978,1556
984,773,1086
1469,323,1182
1571,4373,2392
1136,1934,1612
576,3646,1567
1423,356,1117
222,2001,713
231,821,351
397,1691,352
978,1149,788
1485,419,1150
1045,855,1123
226,2283,370
2433,1314,2316
231,821,351
1601,5121,1510
1453,434,1278
946,946,1018
226,2280,514
1606,3660,1491
1837,2172,2070
1570,1278,1203
320,1815,428
221,2239,880
901,1101,137
976,831,1036
1412,422,1107
3201,3301,3662
504,985,163
1196,3134,1282
1757,2123,1387
496,971,1176
203,813,309
629,1294,277
908,983,985
1639,2537,1615
253,1513,295
152,708,159
708,1062,221
1407,397,1154
910,985,989
804,1311,784
219,823,214
531,3881,529
1356,382,1031
968,893,935
1150,3075,1340
811,1216,59
1565,1223,1364
285,1617,161
1308,436,991
962,925,973
280,1588,370
210,2126,637
813,1219,597
207,734,139
1360,449,992
1233,2538,1136
139,2172,295
814,1328,930
208,781,259
295,1670,181
1345,472,831
293,1660,27
1154,3000,1313
2155,1923,1168
201,756,53
298,1690,68
159,899,181
314,1776,57
183,2099,169
1781,2119,1799
1291,527,1096
1214,654,967
830,1209,822
1199,3028,1306
325,1842,50
1266,517,1006
159,899,181
2314,2240,2172
219,1971,341
300,1702,455
302,1713,420
830,1209,822
768,1153,898
811,1268,734
830,1246,908
1493,2305,1523
1131,3055,1459
150,733,286
3604,7338,4176
830,1246,908
150,733,286
1395,2237,1025
1080,2909,1321
597,1665,564
126,776,253
126,776,253
1080,2909,1262
1383,2249,1025
588,1674,564
924,961,991
1413,2636,1455
300,1702,455
488,1285,1194
3124,6583,4105
2689,6218,2966
2406,6679,2203
365,1462,1124
291,1616,42
1195,643,1092
212,1907,394
179,779,244
695,119,531
470,2395,286
365,1462,1124
1672,2738,2303
113,1021,1365
393,730,872
647,893,767
665,919,1257
740,942,1265
785,999,1385
791,1007,1151
580,870,958
768,2781,1510
546,2878,478
623,761,1391
545,3156,0
835,1063,0
932,3058,0
2496,4014,1569
980,3028,0
835,1021,0
77,1843,0
280,1587,128
141,800,380
365,1462,1124
2887,4861,2821
77,1843,0
141,800,380
54,460,0
74,1771,1
2266,1732,1998
162,917,190
280,1587,128
365,1462,1124
1477,727,1840
784,959,1
181,1629,1
171,728,40
1522,933,1535
280,1587,128
989,2763,2
280,1587,128
20,2025,165
1401,1429,1548
280,1587,128
202,1818,1
280,1588,128
197,1774,315
2397,4243,2712
40,1979,906
1478,906,1272
197,1772,721
186,1051,104
715,1073,3763
202,1815,721
1280,853,1271
186,848,289
46,2254,192
853,2828,4484
46,2248,286
1262,914,1143
2347,6837,6211
45,2227,284
651,863,1384
649,861,1386
1285,969,1345
726,1136,590
203,925,298
2226,5291,2517
1212,1074,1350
700,1095,819
729,1049,951
1213,1076,1239
177,864,33
178,868,1
736,1309,845
45,2227,284
2172,5479,2401
691,1081,922
1284,968,1253
173,910,28
709,1063,646
2211,5168,2211
1237,1054,1225
723,920,993
734,974,975
1230,1048,1244
48,2360,81
1264,3446,1418
118,2237,1
117,2230,1
117,2213,1
2239,5131,2421
1175,1001,1336
1199,981,1185
181,771,81
1084,1000,1146
713,907,353
176,802,563
206,1858,1
1296,5030,1402
666,999,1139
622,1060,1173
55,1769,180
1105,1020,1216
187,981,12
713,946,1086
92,1753,152
102,2441,92
1158,1027,1228
1193,1058,1186
189,992,1
902,1937,1087
1387,5252,1430
1207,987,1202
1165,915,1233
171,967,195
647,2748,1242
1243,3277,1005
1119,993,968
1124,997,1174
672,928,424
308,2807,522
116,2212,532
1113,987,1276
169,960,161
1093,1009,1927
1087,1004,1235
1094,1010,1247
664,2524,905
181,952,51
132,2507,141
2045,4703,2200
2045,4703,2200
1856,4483,2123
766,4341,1541
827,4035,1374
807,3937,1948
790,3859,1645
786,3835,1603
779,3805,1700
1874,4123,3515
767,3744,1407
186,906,250
721,2375,1726
51,2519,577
140,1857,217
203,1830,436
228,1844,1097
436,1641,1156
557,1507,1530
583,1498,1530
1183,5101,2496
465,3761,675
193,824,11
837,1155,1832
949,1159,1610
925,1178,1718
968,1137,1719
1028,3446,2740
665,1182,749
1234,7217,3605
804,3413,2069
2483,7688,4747
1694,4271,4359
575,1116,469
893,1007,2247
954,1033,1358
1360,3224,2068
970,1009,1548
2856,10572,4333
1424,3288,1810
158,970,29
1236,4862,732
172,1982,732
2990,11102,3303
2990,11102,3303
916,6552,1293
1645,2298,1396
2990,11102,3303
868,941,1590
872,945,1682
204,1838,648
163,924,650
872,945,1682
2090,9657,2983
354,2618,1330
596,3375,761
489,950,188
349,1977,299
885,959,1553
438,1023,313
903,978,1210
341,2097,669
176,2028,896
124,828,365
613,3473,665
835,1020,1361
514,955,244
124,828,365
194,1126,146
161,1147,188
870,2971,623
152,1113,13
747,2775,1140
238,1013,61
901,901,1128
286,1757,269
471,1000,231
175,1769,643
473,960,113
910,910,1154
556,3418,497
721,2756,652
964,890,998
342,1936,115
165,1015,156
932,896,1056
983,871,1024
618,3244,824
146,896,132
185,1049,171
883,919,1044
618,3244,824
834,2678,1323
1301,2914,1357
185,971,175
709,2805,1290
316,1942,573
892,888,1462
565,3202,1365
757,2687,1422
1219,2788,1683
613,3476,836
1217,2775,1586
633,3587,733
732,2650,1091
878,878,1041
330,1873,761
601,3408,709
546,3988,1014
686,3602,731
651,3692,1797
640,3625,883
652,2780,1105
1223,2786,1842
595,3373,438
1326,1849,1490
1065,2843,2980
331,1873,537
131,1064,182
164,1889,1075
1193,2837,1936
236,2126,587
363,2054,499
283,1134,192
491,911,127
200,1798,884
868,868,1167
728,2565,658
419,933,127
882,882,1105
543,2995,774
500,2932,676
173,980,91
587,3324,1302
168,954,54
515,876,45
504,857,116
194,1745,696
191,1721,698
171,970,192
593,3362,1023
193,1733,700
481,893,27
153,939,202
195,1752,830
887,887,1079
364,1910,560
315,1933,589
183,1646,765
423,987,249
285,1613,632
935,864,1105
1216,2737,1705
609,3450,885
1215,2759,1299
310,1903,646
871,871,1810
655,2468,1373
1213,2751,1870
772,4454,1255
184,1042,161
917,846,864
498,884,341
133,1765,993
609,3450,1491
1274,2728,1937
177,1006,559
587,3324,1321
600,3399,1268
603,3420,1237
883,883,1125
173,983,433
132,1757,848
436,847,95
330,1873,413
874,874,1093
332,1881,475
525,3511,1126
1433,4313,2284
328,1859,561
346,1814,459
643,3641,958
170,964,299
367,1100,337
185,1668,1120
314,1778,642
169,960,334
165,1016,187
334,1894,495
1155,2780,1763
861,861,1172
461,937,483
1327,1614,1433
607,3439,944
173,978,221
174,983,303
176,1582,876
500,929,125
738,4455,1171
1139,2580,1331
1140,2576,1422
178,1600,1086
1167,5455,1296
497,924,60
782,4507,876
167,944,500
289,1639,286
273,1674,331
805,984,1053
329,2019,496
361,2918,1183
516,1002,110
547,3658,887
365,2069,798
170,961,179
228,2052,1012
508,943,116
663,3760,565
289,2121,379
229,2061,856
424,990,11
127,932,22
839,946,1053
336,2067,418
858,858,1288
179,1012,3
179,1017,110
673,2805,733
662,3750,858
1016,5759,1545
847,1078,1775
169,955,260
674,3818,868
348,1971,230
1853,6743,2658
882,882,1376
512,950,247
157,887,54
905,870,940
221,1986,956
327,2006,157
887,887,1243
233,2101,633
828,934,943
505,937,3
746,5728,1873
314,1932,51
781,955,1079
361,1082,22
114,2164,920
647,5820,1027
438,975,87
201,1139,849
827,4689,653
360,2037,587
182,1119,210
179,1012,198
352,1992,272
357,964,164
760,928,1070
354,2006,211
178,1009,23
1157,2885,1425
661,2734,697
350,1985,548
993,2641,1988
457,849,-133
623,3528,518
181,1026,14
183,1039,32
642,2608,1094
1112,2889,2163
832,5372,1967
793,895,1554
800,4536,1095
205,1842,851
499,926,198
338,1916,833
768,865,1414
473,918,218
345,1957,715
942,2696,2350
493,2908,2124
380,976,841
293,982,506
161,1076,683
754,960,1565
907,5539,1496
397,3681,1331
388,904,483
152,1750,927
291,1945,827
165,932,182
695,960,1059
456,846,135
522,3572,462
859,825,1149
152,864,995
695,5544,861
180,1618,317
185,1665,363
455,845,174
841,841,1047
2329,9759,3440
614,2624,745
350,1983,934
1240,4599,2314
324,973,697
756,963,1179
177,1001,185
424,3816,1135
510,2673,1509
776,948,1541
125,963,519
1302,6925,2300
792,968,1081
108,662,220
679,977,1037
454,3670,1197
526,4619,1240
541,3116,1699
95,1796,466
415,2788,1922
467,3782,1597
589,4145,1782
583,2182,539
141,830,156
750,2815,1652
1219,5431,2060
1317,4692,5605
359,2035,2481
338,1014,2420
145,1922,2285
418,3764,1720
771,2968,1433
364,936,472
126,925,111
356,2016,717
100,1897,347
847,2727,1385
514,3439,933
927,5470,1209
792,2776,793
836,870,918
146,1799,353
345,933,26
163,1002,52
740,1064,1053
159,1826,417
714,985,941
420,779,245
184,1654,799
267,1961,909
296,3933,625
720,995,1008
320,1965,458
100,902,57
507,2680,1043
750,1035,1139
296,3929,688
975,2782,1516
132,883,193
738,979,1222
258,2084,658
273,966,806
169,1712,400
434,4724,1585
283,1002,18
679,1063,1272
931,3031,2215
327,2916,1593
217,2681,620
92,828,987
201,3815,48
89,903,393
162,1860,916
175,990,301
359,3627,496
131,1178,504
726,962,1063
385,3468,711
226,2031,450
101,912,184
324,971,138
108,1694,635
675,895,1379
77,886,250
771,943,1375
169,958,812
1046,3857,2573
448,4523,2832
761,912,1439
691,995,1362
771,942,1071
205,2620,1354
696,961,1101
220,879,477
95,1796,422
84,804,268
232,2089,713
743,984,1180
277,2914,931
312,3587,871
738,1706,1097
713,945,924
733,921,1239
316,3633,120
381,3432,153
739,940,959
283,2925,1020
237,2134,370
718,992,957
101,1917,577
177,1182,356
214,2167,464
647,1011,1232
274,3643,886
88,856,239
560,1247,1007
396,3169,1033
117,1828,684
778,950,1018
312,2989,901
97,1842,453
88,856,88
1302,6925,2300
108,662,220
679,977,1037
368,3725,643
236,1076,642
95,1796,466
242,2178,501
583,2182,539
750,2815,1652
537,4448,933
238,2146,584
784,885,1141
136,1805,858
262,2120,765
120,1882,983
329,3786,1155
724,885,1043
887,1609,1329
94,844,352
841,851,963
641,1047,961
584,2773,1518
492,913,563
456,969,519
74,1779,527
707,899,867
412,2865,1043
964,2926,1360
64,844,400
93,833,2083
653,932,907
711,982,911
378,2879,780
208,3945,609
81,821,137
137,1817,432
141,1874,432
369,950,590
247,3872,549
392,3022,1096
114,765,65
237,2129,534
785,850,910
302,1207,106
790,5923,1190
205,3894,440
159,925,561
985,4735,1556
116,685,255
131,661,255
312,1075,769
257,1170,578
709,885,918
401,2790,785
92,1745,422
208,1868,597
808,875,904
1753,10125,3367
758,926,1111
843,843,943
823,823,918
334,2838,994
1314,5224,2561
206,1858,220
129,2451,147
1018,2207,1513
162,1461,616
682,1023,986
75,676,27
326,2850,989
236,2120,700
913,3143,1788
418,3758,345
158,2993,43
168,1937,502
477,3076,1657
746,911,1001
124,704,53
776,2121,1402
540,1049,1131
586,998,863
74,670,396
134,1272,94
269,1971,192
196,1071,323
446,2707,711
640,960,917
334,1892,1311
641,962,785
659,988,857
81,929,109
957,1705,1757
115,934,663
126,845,226
112,822,155
141,798,173
143,1902,124
364,1712,743
662,993,877
71,635,77
719,879,879
745,911,904
734,946,875
148,469,76
919,2884,1771
638,1040,709
600,1035,671
67,604,75
27,515,913
532,3259,1326
548,1064,785
87,579,14
334,1891,931
671,1570,729
338,1913,447
331,3812,825
635,953,738
552,1026,958
364,1092,610
162,1455,399
318,1197,454
166,1614,413
237,1119,910
1119,1892,1088
770,835,758
162,1461,320
802,824,703
382,2605,564
688,1032,707
72,532,29
639,988,875
710,953,882
190,2972,928
297,1987,141
965,3756,1438
286,1196,789
762,931,982
442,1259,874
496,1006,839
427,1280,1175
186,2134,338
67,605,105
218,1283,1061
144,2727,3794
335,3109,2122
108,1696,1233
560,1163,1355
136,2123,417
251,2033,982
659,1076,1735
698,1047,1643
72,644,8092
41,778,6731
41,778,6731
63,988,7415
67,1045,6913
637,1085,1754
135,2123,417
218,2623,13370
242,1104,915
696,1014,1781
216,3078,5394
196,1109,1844
930,2044,3072
107,2166,314
380,2540,2376
288,2594,2412
693,881,2075
75,675,242
214,2568,4836
63,1194,168
788,3734,4185
154,944,2101
298,2678,3889
219,1242,694
785,960,2208
302,2716,4046
691,880,2353
120,803,520
312,1106,824
334,3915,2474
846,2125,2595
342,2310,1138
113,825,549
195,1108,275
283,1875,527
696,851,2226
202,1290,608
18,345,133
100,730,242
734,897,1883
150,2853,3867
368,2697,2098
219,4156,17
334,1120,864
381,2553,764
677,934,2098
152,1117,655
377,5147,3991
271,1084,116
613,1000,2074
215,1217,404
275,1251,694
661,4995,1970
277,2489,1145
145,2763,186
243,1276,750
943,3403,3206
270,2430,924
137,1107,986
150,2853,3867
149,2832,46
669,1004,2138
216,1328,656
746,2119,2587
127,1142,727
282,2282,947
633,1033,1722
256,2307,724
209,1286,323
751,917,1841
611,2229,736
682,1023,1776
258,2325,417
188,1156,391
676,1014,1810
224,2336,1044
788,2136,2345
249,2243,485
131,2059,73
885,3031,2198
230,2072,240
618,926,1765
700,1050,1546
48,909,122
193,1416,135
138,1113,627
193,1416,261
122,1096,677
672,1051,2062
186,4456,76
287,1307,544
234,2110,321
646,968,2197
336,7309,3943
301,1372,461
131,2059,73
615,849,2095
186,4456,56
782,3034,2298
292,1168,894
116,1045,771
569,970,2286
291,1163,873
341,1362,760
305,2041,845
347,1966,437
329,1318,591
540,1004,2154
264,1497,459
26,496,344
538,999,1560
267,1514,497
301,1285,1056
513,996,2222
525,974,2234
285,1299,816
186,2465,107
681,799,2284
143,1283,826
339,3900,178
332,2038,848
642,785,2270
106,2010,499
375,4082,2005
141,1267,760
543,814,2273
344,1951,664
126,3019,1332
980,4476,2768
337,1907,758
205,1159,525
686,743,2249
645,822,2298
617,786,2300
319,3665,138
585,776,2341
617,754,2254
264,1205,116
42,802,2153
17,823,344
636,718,2132
204,3204,152
198,1040,384
341,1932,215
181,1112,361
312,1917,238
315,1934,464
604,738,1817
323,1378,448
213,1719,185
168,1029,439
168,1034,435
191,1005,601
255,1243,482
16,764,258
691,2272,2215
249,1218,449
254,2058,228
275,2014,39
200,1136,580
570,787,2199
45,401,20
437,1865,314
190,1077,164
356,2015,383
522,783,2205
214,1213,683
268,1221,839
559,773,2274
362,4442,386
11,1135,266
256,2876,920
207,1086,96
218,1964,321
233,1322,159
508,830,2387
440,4641,268
752,2162,3509
534,3186,1129
341,1930,1173
212,1113,124
276,1349,461
879,4150,3362
215,4091,54
185,1051,197
16,795,34
297,1821,575
534,801,1701
507,5792,584
578,766,1513
202,1062,126
398,5212,240
196,1112,214
301,1282,819
290,1160,1287
24,774,127
681,681,2077
366,1224,217
655,800,2358
176,999,436
326,1305,353
716,875,2459
249,2237,129
338,1917,754
312,1247,517
24,774,127
164,1005,566
306,3091,219
591,723,2472
587,748,2443
458,717,2384
297,1186,543
565,749,3240
237,1158,666
268,1220,521
175,1074,583
765,4064,2617
518,5550,5965
311,1242,313
242,4592,242
519,779,2285
305,1221,280
168,949,980
923,3433,4358
257,1171,414
464,3608,840
643,819,2563
648,702,1422
761,1815,2426
402,4060,62
269,1076,683
149,994,250
242,1103,750
618,696,1636
568,5320,753
278,1992,469
120,1083,828
16,798,71
164,929,487
368,2697,2098
353,1724,612
405,4727,166
187,1058,412
526,757,1650
252,1072,633
856,2546,1950
269,1077,291
177,1089,362
303,1717,496
208,2767,78
462,937,1644
195,1103,188
259,1182,421
361,2262,1171
359,5036,445
449,1717,1398
211,1197,281
430,1004,1294
586,746,1259
566,782,1255
13,630,77
512,871,2379
354,2342,997
210,1288,457
234,4450,347
503,821,3137
285,4789,918
10,472,335
104,1191,888
521,888,3195
218,1341,1156
239,4539,1344
101,1163,1209
284,4448,1185
216,1328,1361
188,3563,54
296,5142,1463
228,1400,1525
719,2095,2934
805,2251,4357
16,788,568
269,3574,692
133,1194,196
208,1389,1517
563,845,3072
14,699,499
261,4093,815
229,1404,608
390,5251,1067
132,1190,245
593,890,3157
134,1203,599
210,1405,1499
14,690,1122
697,963,3055
134,1082,1581
153,1377,662
211,4006,743
132,1186,1196
26,1276,117
151,1110,1157
595,893,3152
633,949,2884
224,3510,853
156,1141,1218
146,1312,1432
25,1210,21
839,4406,3444
155,1133,419
169,1129,1133
169,1129,1133
415,3354,1015
137,1232,1551
35,1130,234
861,2070,4099
212,1204,1574
90,1709,380
128,2438,387
320,4048,1065
897,3724,2649
443,3247,486
146,1072,560
431,3159,438
154,2918,280
211,1194,999
24,762,357
731,894,2487
187,1371,582
211,1194,1389
414,3728,1080
426,3446,1146
227,1191,1353
759,928,2395
24,762,357
23,729,188
215,1051,1637
753,849,2241
205,1078,1461
937,2016,3047
402,3621,1104
26,833,50
156,1140,577
392,3524,1004
714,946,2226
187,1058,1479
700,967,2170
201,1140,1976
380,3423,897
25,796,68
27,860,292
196,1110,1810
158,1057,636
406,3655,1065
220,2019,1644
899,2071,2700
567,4733,1591
200,1136,1772
389,3500,975
184,1128,1854
29,943,12
146,1073,440
726,853,2028
198,1325,1728
395,3760,731
196,1309,1012
669,817,1410
225,2252,1024
799,976,1742
690,844,1767
700,856,1767
148,1197,711
395,3551,769
132,1064,869
409,4364,1038
230,2289,2056
1153,3450,4606
396,3564,997
408,3669,1657
139,1248,597
125,1125,656
188,1259,1276
330,2386,1821
787,819,1722
422,3798,1048
122,1235,268
847,693,1737
243,1816,2531
115,1160,183
394,3542,1074
852,697,1723
378,3400,921
343,2360,1661
21,512,20
240,1696,1701
394,3544,1064
133,1078,149
724,816,1840
122,1097,149
218,1234,1429
748,1514,1917
354,3575,906
122,1098,148
242,1901,1973
707,830,1793
352,3563,1055
353,3051,2089
124,1113,183
228,2342,1809
361,3651,1171
34,820,47
699,821,1674
203,1066,1508
124,1113,183
347,3510,863
354,3582,827
28,536,21
231,1602,1529
356,3597,980
685,772,1587
639,720,1559
617,695,1555
631,771,1804
201,980,991
172,2130,410
379,3408,958
656,801,1880
370,3330,1347
121,888,32
206,1081,654
178,2045,374
260,2190,843
639,883,1850
305,3501,1220
117,1055,74
204,1070,626
638,881,1538
373,4795,1474
641,885,1517
388,3402,1090
316,3639,1209
536,710,1617
434,4694,1283
642,963,1339
199,1128,858
390,4490,1415
105,1210,201
131,1182,161
680,1021,1569
224,1377,610
207,1172,338
662,994,1380
128,1154,52
216,1327,650
374,4304,854
135,1218,115
376,4323,715
1022,5140,1895
373,4288,615
668,1002,1259
186,1367,605
138,1239,1028
372,4276,947
686,1028,1160
228,2627,587
684,1026,1256
197,1317,28
137,1229,232
250,3912,699
676,1014,1251
205,1372,401
137,1230,321
137,1230,321
240,3756,818
682,1023,1388
210,1289,686
142,1277,455
678,936,1286
238,3729,631
227,3558,702
138,1243,457
180,1322,256
138,1242,917
142,1278,892
213,4046,710
704,933,1414
176,1291,836
136,1224,284
142,1281,300
211,4005,875
177,1299,593
724,959,1454
174,1275,1069
216,4096,308
147,1192,317
762,931,1455
353,4061,799
177,1300,864
134,1207,351
723,849,1339
607,713,1321
648,791,1306
134,1210,364
183,1223,780
302,3475,882
599,649,1048
824,464,4042
541,267,6346
249,196,9099
122,57,9934
56,26,11363
150,67,11176
124,170,7255
614,720,1101
181,1213,753
439,4715,1503
175,1281,354
189,1267,145
644,787,1078
445,4787,1149
171,1144,623
645,699,1730
152,1371,356
515,4628,1679
345,3489,1054
624,772,1846
122,1407,422
337,3402,1311
339,3426,1095
586,716,2172
172,1153,893
124,1421,431
375,3376,1086
597,730,2198
172,1153,925
509,4893,1991
725,2296,3155
173,1222,1113
632,742,2304
130,1495,834
385,3460,1331
388,3489,1013
166,1109,974
91,1419,811
95,1486,947
585,715,2346
180,3659,1192
85,1544,1544
11,1079,1091
105,1204,974
234,3672,808
584,685,2312
117,1050,940
102,1601,895
236,3690,1143
583,657,2305
148,1334,924
598,674,2296
592,668,2525
109,1451,904
235,3678,962
146,1178,802
152,1372,1048
618,697,2214
154,1247,724
134,1204,1003
667,752,2634
155,1252,470
154,1389,725
1123,5603,4533
159,1286,686
257,3416,1254
224,3505,1303
187,3543,1275
217,3401,1420
263,3491,1298
675,859,2606
155,1395,1000
686,838,1926
149,1203,1174
210,2784,1265
129,1488,881
670,888,1736
148,1197,1008
155,1254,952
212,2818,871
215,2861,1452
126,1443,978
125,1433,904
720,846,1778
152,1113,1042
118,1360,822
171,1966,1331
130,1319,830
723,849,1764
341,2748,1917
170,1958,1230
149,1339,842
146,1318,862
144,1296,797
144,1292,633
144,1299,719
145,1308,573
175,2008,4216
229,3048,1410
226,2999,1385
224,2971,1037
180,1320,899
119,1365,573
157,1412,497
140,1257,3788
160,1436,211
719,845,5503
176,998,919
700,822,1714
218,2892,997
235,2899,4806
138,1243,504
138,1240,507
170,1042,1039
196,1204,4960
704,827,1437
708,831,5572
257,2602,1067
695,850,1479
255,2291,1010
186,1054,690
372,3346,1003
617,925,1607
183,1344,275
546,786,1688
231,2653,744
155,1135,360
537,805,5740
188,1068,611
128,1153,864
253,2561,1079
587,717,1490
213,2623,926
123,1175,827
181,951,631
600,705,1922
220,2707,642
133,1199,621
203,923,560
181,949,502
120,1216,561
599,732,1393
124,1118,482
217,2671,969
173,907,546
611,717,1418
133,1194,575
219,2903,1096
164,928,541
612,718,1443
165,933,385
136,1299,606
224,3224,1067
182,1030,503
138,1120,732
661,776,1513
159,3024,1090
604,604,1563
183,959,446
166,3158,954
138,1012,740
688,688,1566
180,945,469
151,1105,874
687,687,1562
180,943,127
856,3794,2259
178,1010,136
162,3083,1219
157,1153,726
159,1163,595
704,763,1537
702,702,1092
837,1754,1756
146,1073,631
182,1032,197
162,3076,724
704,704,1079
107,959,671
170,963,90
167,3172,495
723,723,1119
111,1000,824
163,923,501
732,3929,1597
501,930,1081
131,964,643
150,919,507
160,983,644
171,3257,735
541,920,1085
574,792,1097
305,4281,1400
159,978,659
545,889,1133
139,1122,2378
491,835,1158
318,4048,1350
139,1123,2022
133,1077,1820
468,869,1199
486,760,1108
114,2170,711
113,2145,715
150,850,590
146,830,582
172,3265,829
133,1080,945
185,3510,800
502,753,1005
157,961,466
171,3244,681
134,1207,919
500,750,975
154,946,303
180,3421,856
247,4698,2028
295,4628,2069
295,2222,2202
498,747,987
145,893,1243
107,962,1174
113,1016,845
124,908,857
129,948,818
282,3241,935
175,1077,858
136,995,1174
178,1096,204
346,3117,924
123,995,1183
167,1115,852
347,3121,930
125,1013,747
149,1092,852
354,3188,959
352,3166,934
115,1030,707
116,1039,924
146,1067,995
320,3235,995
123,995,960
148,1084,1006
320,3236,1020
112,1011,1010
112,1011,1010
80,1064,1008
90,1033,1116
91,1044,1174
97,976,676
96,974,1092
298,3425,301
298,3431,207
85,983,1103
588,543,464
613,846,1565
611,917,2376
826,4264,3922
254,3378,1480
496,844,3197
575,1069,2113
90,973,1119
586,956,2205
641,961,2431
180,3422,1534
184,3490,35
183,3486,77
277,4670,167
695,1042,1964
486,728,1676
633,1125,2113
292,4474,2034
92,826,390
312,3587,434
693,1039,1241
88,794,353
156,3746,746
195,3695,693
194,3690,396
695,1042,1665
81,725,757
689,1034,1587
195,3698,418
697,1045,1527
86,1141,840
190,3618,638
197,3733,726
704,1056,1516
96,1100,874
195,3695,854
694,1041,1802
194,3684,673
117,1057,804
193,3663,672
693,998,1685
136,1223,744
219,3756,619
242,3786,1285
133,1197,755
673,968,1563
119,1075,766
236,3700,1381
687,988,1634
123,1106,789
239,3737,1335
707,1061,1661
622,859,1501
634,951,1583
236,3695,1120
80,1057,904
236,3701,1127
611,996,1625
75,993,897
78,902,922
94,760,912
99,801,1001
233,3654,1540
610,995,1551
615,1004,1238
100,806,885
237,3709,1261
608,992,1398
236,3700,1284
107,864,952
240,3761,37
610,914,1517
90,814,1050
99,893,1464
241,3769,1363
619,1010,1612
240,3752,1335
98,885,1452
611,996,1557
615,1003,1582
617,1098,1800
233,3654,1447
94,843,1584
615,1094,1795
203,3854,1283
614,1002,1795
72,647,1410
195,3708,1270
659,989,1738
78,705,1390
192,3641,1258
656,985,1712
89,718,1264
190,3600,1290
