      Date ,BOPD,BWPD,Gas Rate,BLPD,Reservoir
31-May-86,348.52,5.42,4823742,353.94,A-2
30-Jun-86,105.77,1.3,1742900,107.07,A-2
31-Jul-86,413.42,15.03,4142710,428.45,A-2
31-Aug-86,248.94,9.68,4570645,258.61,A-2
30-Sep-86,348.37,9.4,4084300,357.77,A-2
31-Oct-86,330.81,5.65,3789323,336.45,A-2
30-Nov-86,348.93,7.9,3544600,356.83,A-2
31-Dec-86,313.65,4.87,3797645,318.52,A-2
31-Jan-87,337.81,6.68,3621161,344.48,A-2
28-Feb-87,361.36,6.11,3770143,367.46,A-2
31-Mar-87,365.81,3.94,350161,369.74,A-2
30-Apr-87,374.97,4.53,3763700,379.5,A-2
31-May-87,400.71,9.16,4470806,409.87,A-2
30-Jun-87,349.1,5.6,3380067,354.7,A-2
31-Jul-87,338.39,5.16,3622742,343.55,A-2
31-Aug-87,354.13,4.61,3673548,358.74,A-2
30-Sep-87,301.97,4.37,2969967,306.33,A-2
31-Oct-87,324.48,4.35,3747935,328.84,A-2
30-Nov-87,335.7,4.33,3706167,340.03,A-2
31-Dec-87,368.1,5.87,3463806,373.97,A-2
31-Jan-88,374.23,4.71,3569516,378.94,A-2
29-Feb-88,350.31,5.24,3595793,355.55,A-2
31-Mar-88,364.87,5.84,3315000,370.71,A-2
30-Apr-88,346.53,7.23,3293733,353.77,A-2
31-May-88,341,9.29,3276323,350.29,A-2
30-Jun-88,299.17,5.77,3150500,304.93,A-2
31-Jul-88,328.94,6.23,3365677,335.16,A-2
31-Aug-88,330.29,5.32,3128806,335.61,A-2
30-Sep-88,322.33,4.67,2962267,327,A-2
31-Oct-88,311.16,5.9,3331581,317.06,A-2
30-Nov-88,303.23,4.23,3031933,307.47,A-2
31-Dec-88,305.16,4.23,3339968,309.39,A-2
31-Jan-89,309.35,5.03,3461548,314.39,A-2
28-Feb-89,303.32,4.75,3444250,308.07,A-2
31-Mar-89,289.45,5.19,3465742,294.65,A-2
30-Apr-89,258.4,3.8,3431600,262.2,A-2
31-May-89,253.35,4.13,3111097,257.48,A-2
30-Jun-89,237.63,3.27,3085033,240.9,A-2
31-Jul-89,252.84,448,3216161,700.84,A-2
31-Aug-89,235.87,522.32,2910516,758.19,A-2
30-Sep-89,253.7,575.57,2516067,829.27,A-2
31-Oct-89,202.1,430.58,2614194,632.68,A-2
30-Nov-89,182.57,408.7,2702667,591.27,A-2
31-Dec-89,183.26,393.65,2766581,576.9,A-2
31-Jan-90,192.52,394.87,3897065,587.39,A-2
28-Feb-90,191.71,368.96,4424500,560.68,A-2
31-Mar-90,188.23,353.29,3913032,541.52,A-2
30-Apr-90,150.03,333.77,4711333,483.8,A-2
31-May-90,183.61,289.16,3523387,472.77,A-2
30-Jun-90,15.13,62.3,437733,77.43,A-2
31-Jul-90,221.45,2.42,1991290,223.87,A-2
31-Aug-90,278.74,3.74,3779774,282.48,A-2
30-Sep-90,223.43,11.6,4025500,235.03,A-2
31-Oct-90,276.42,9.42,3454613,285.84,A-2
30-Nov-90,302.27,656.3,3583267,958.57,A-2
31-Dec-90,186.48,412,3127097,598.48,A-2
31-Jan-91,268.29,370.35,5280710,638.65,A-2
28-Feb-91,207.21,155.86,2528214,363.07,A-2
31-Mar-91,177.9,1.84,2182774,179.74,A-2
30-Apr-91,169.17,1.7,1968200,170.87,A-2
31-May-91,143.35,1.87,1637806,145.23,A-2
30-Jun-91,136.17,1.27,1714767,137.43,A-2
31-Jul-91,155.48,1.61,4040355,157.1,A-2
31-Aug-91,154.71,1.45,2330000,156.16,A-2
30-Sep-91,142,1.43,2247567,143.43,A-2
31-Oct-91,139.48,2.26,2196871,141.74,A-2
30-Nov-91,129.6,2.63,2029967,132.23,A-2
31-Dec-91,111.94,2.29,3095677,114.23,A-2
31-Jan-92,66.19,0.68,2078548,66.87,A-2
29-Feb-92,0,0,2126931,0,A-2
31-Mar-92,0.71,0,2084548,0.71,A-2
30-Apr-92,1,0,1973233,1,A-2
31-May-92,23.9,0.55,2000774,24.45,A-2
30-Jun-92,86.7,2.03,2115167,88.73,A-2
31-Jul-92,106.77,1.74,2114935,108.52,A-2
31-Aug-92,96.94,0.97,1883968,97.9,A-2
30-Sep-92,83.83,0.83,1645233,84.67,A-2
31-Oct-92,91.23,0.94,1420548,92.16,A-2
30-Nov-92,97.37,1.3,1558567,98.67,A-2
31-Dec-92,96.39,1.94,1615161,98.32,A-2
31-Jan-93,96.06,1.97,1610161,98.03,A-2
28-Feb-93,37.18,0.75,622964,37.93,A-2
30-Apr-95,0.63,62.6,18200,63.23,A-2
31-May-95,2.23,195.71,64484,197.94,A-2
31-Oct-10,25.87,29.48,9086613,55.35,A-2
29-Feb-12,54.45,65.72,5409759,120.17,A-2
